"user_id";"sex_type";"occupation";"education";"marriage";"person_type"
55833;1;2;4;1;2
55834;1;2;3;2;1
55835;1;2;4;1;2
55836;1;2;3;1;4
55837;2;2;3;1;2
55838;2;2;3;2;2
55839;1;2;3;1;1
55840;2;2;3;1;4
55841;1;2;3;3;1
55842;1;2;3;3;4
55843;1;4;2;3;3
55844;1;4;4;1;4
55845;1;4;3;1;2
55846;1;4;4;3;2
55847;1;2;3;1;1
55848;1;2;4;3;3
55849;2;2;2;3;2
55850;2;4;4;4;2
55851;1;2;3;3;3
55852;1;2;3;1;2
55853;1;2;2;3;1
55854;2;3;3;1;1
55855;1;2;3;1;1
55856;1;2;4;1;4
55857;1;2;3;2;4
55858;1;4;4;1;1
55859;1;2;3;3;2
55860;1;2;4;2;2
55861;1;2;4;2;3
55862;2;2;3;1;1
55863;1;4;4;3;2
55864;1;4;3;1;4
55865;1;4;3;3;2
55866;1;4;4;1;1
55867;2;2;4;1;3
55868;2;2;3;3;1
55869;1;2;2;3;4
55870;1;2;3;3;2
55871;1;2;2;2;1
55872;1;2;3;1;4
55873;1;2;4;1;2
55874;1;2;3;3;2
55875;1;2;3;3;3
55876;1;2;2;1;1
55877;1;2;3;1;4
55878;2;2;4;3;4
55879;1;2;4;1;2
55880;1;2;4;2;1
55881;1;2;4;1;1
55882;1;2;4;1;4
55883;1;2;4;1;4
55884;2;2;4;1;4
55885;1;2;3;3;1
55886;1;3;3;1;2
55887;1;2;3;1;4
55888;1;4;3;2;1
55889;2;2;3;1;3
55890;2;4;4;3;4
55891;2;2;4;4;4
55892;1;2;4;1;3
55893;1;2;3;1;2
55894;2;2;2;2;4
55895;1;2;3;1;2
55896;1;2;2;1;1
55897;1;2;3;2;2
55898;2;2;3;3;2
55899;1;2;3;2;2
55900;1;2;3;4;1
55901;1;3;3;1;3
55902;1;2;3;3;4
55903;2;2;3;1;1
55904;1;2;3;3;2
55905;1;2;4;1;4
55906;2;2;4;1;1
55907;1;2;3;2;1
55908;2;2;3;3;1
55909;1;4;4;3;3
55910;1;2;4;1;1
55911;1;2;4;1;2
55912;1;2;4;1;4
55913;1;4;3;1;2
55914;1;2;3;4;2
55915;2;2;3;1;2
55916;1;2;2;3;1
55917;2;2;3;1;1
55918;1;2;4;2;1
55919;2;2;3;2;2
55920;1;4;4;1;1
55921;2;2;4;1;4
55922;1;2;3;3;3
55923;2;2;4;3;2
55924;1;2;2;3;1
55925;1;2;4;1;1
55926;2;2;4;2;2
55927;1;2;2;2;3
55928;1;2;3;2;1
55929;2;2;3;3;1
55930;1;3;3;1;4
55931;1;2;3;3;4
55932;1;2;2;1;4
55933;1;2;3;2;2
55934;1;2;4;2;4
55935;1;3;3;3;1
55936;1;2;3;1;1
55937;1;2;4;1;4
55938;1;4;3;1;1
55939;1;2;4;3;2
55940;2;4;3;2;1
55941;1;2;3;1;1
55942;2;4;3;1;1
55943;1;2;3;3;1
55944;1;2;4;1;3
55945;1;2;2;3;3
55946;1;2;3;1;2
55947;2;3;2;3;3
55948;2;3;4;3;1
55949;1;2;2;3;1
55950;1;3;2;3;1
55951;2;2;3;1;2
55952;1;2;4;1;4
55953;2;2;3;2;4
55954;1;4;2;1;1
55955;2;3;3;2;3
55956;1;4;3;1;4
55957;1;2;4;1;1
55958;1;4;4;1;4
55959;2;4;4;1;3
55960;1;2;2;1;3
55961;1;2;2;3;4
55962;1;2;2;1;3
55963;1;4;4;1;4
55964;1;4;2;1;1
55965;1;2;4;2;1
55966;1;2;2;2;2
55967;1;2;3;2;2
55968;1;2;4;1;2
55969;1;2;4;1;1
55970;2;4;4;3;2
55971;2;2;4;1;2
55972;1;2;4;2;4
55973;1;2;4;3;1
55974;1;2;3;1;1
55975;0;2;4;1;4
55976;1;2;4;3;2
55977;1;2;3;2;4
55978;2;2;2;3;1
55979;1;2;3;1;2
55980;1;2;3;3;1
55981;1;2;3;1;2
55982;1;2;3;1;2
55983;2;2;2;1;2
55984;1;2;4;1;2
55985;1;2;3;1;2
55986;2;3;4;3;3
55987;0;4;3;3;1
55988;1;2;4;1;3
55989;1;2;3;3;1
55990;1;2;2;1;1
55991;1;2;2;1;1
55992;1;2;2;3;1
55993;2;3;4;3;4
55994;1;2;3;3;1
55995;1;2;4;1;3
55996;1;2;3;1;1
55997;1;3;3;3;1
55998;1;2;3;3;4
55999;1;2;4;1;2
56000;1;2;3;4;1
56001;1;2;3;1;3
56002;1;2;4;3;2
56003;1;2;4;1;3
56004;1;2;3;3;4
56005;1;4;3;1;2
56006;1;3;4;3;2
56007;1;2;3;3;1
56008;1;2;3;1;3
56009;2;2;4;3;3
56010;1;2;3;1;1
56011;1;2;4;2;2
56012;1;4;3;1;4
56013;1;2;3;1;3
56014;1;2;2;3;4
56015;1;2;3;4;1
56016;0;2;1;2;1
56017;1;2;2;3;1
56018;2;2;2;3;1
56019;1;4;4;1;4
56020;2;2;2;3;3
56021;1;2;2;1;3
56022;2;2;3;1;2
56023;1;2;4;3;2
56024;1;2;4;2;2
56025;1;2;4;1;4
56026;1;2;4;3;1
56027;1;4;3;1;4
56028;1;3;3;3;4
56029;1;2;3;2;1
56030;1;2;4;3;1
56031;1;4;4;1;4
56032;1;4;4;4;2
56033;1;2;2;2;3
56034;1;4;2;1;4
56035;1;2;3;2;3
56036;1;4;4;3;2
56037;1;4;4;3;4
56038;1;4;4;2;1
56039;1;4;3;1;4
56040;1;2;3;1;4
56041;1;2;4;1;4
56042;1;2;3;3;4
56043;1;2;3;1;1
56044;1;2;3;2;1
56045;1;2;3;3;3
56046;1;2;4;3;3
56047;1;4;4;3;2
56048;1;3;4;3;2
56049;1;2;3;3;4
56050;1;2;4;1;3
56051;1;2;2;3;1
56052;1;2;4;1;2
56053;1;2;3;1;2
56054;2;3;4;3;4
56055;1;2;2;1;3
56056;1;4;4;1;2
56057;1;2;3;3;2
56058;2;2;4;3;1
56059;1;2;3;1;1
56060;1;2;2;3;2
56061;1;3;3;3;1
56062;1;2;3;2;1
56063;1;3;2;3;2
56064;1;3;2;3;1
56065;1;2;3;3;4
56066;2;4;4;3;2
56067;1;2;3;1;2
56068;1;2;4;4;4
56069;1;2;3;3;1
56070;1;4;3;1;3
56071;1;4;3;1;1
56072;1;2;3;1;4
56073;2;2;2;1;3
56074;1;2;3;3;4
56075;1;2;3;1;1
56076;1;2;4;3;2
56077;1;2;4;1;1
56078;1;2;3;2;1
56079;1;2;4;3;4
56080;2;2;2;1;1
56081;1;2;4;3;2
56082;1;4;4;1;4
56083;1;2;2;2;1
56084;1;2;4;1;4
56085;1;2;4;1;4
56086;1;2;3;1;3
56087;1;2;4;2;1
56088;1;2;3;3;4
56089;1;2;3;1;1
56090;1;2;4;3;2
56091;2;2;3;3;3
56092;1;2;4;3;3
56093;1;2;2;3;1
56094;1;2;4;1;1
56095;1;4;4;2;4
56096;1;2;3;1;1
56097;2;4;4;4;1
56098;1;2;4;1;1
56099;1;4;4;1;4
56100;2;2;3;3;1
56101;1;2;3;1;2
56102;1;4;4;4;2
56103;1;2;4;1;4
56104;1;4;4;3;1
56105;2;2;4;3;3
56106;2;2;2;1;3
56107;1;2;3;1;1
56108;2;4;3;3;3
56109;0;2;4;2;2
56110;2;2;2;3;1
56111;1;2;2;2;1
56112;1;4;2;1;2
56113;1;2;2;3;1
56114;1;2;2;1;3
56115;1;2;4;2;3
56116;2;2;4;1;4
56117;2;2;4;1;2
56118;1;4;4;3;2
56119;1;2;3;1;2
56120;1;2;2;3;1
56121;0;4;4;1;2
56122;1;2;3;3;1
56123;1;2;4;3;3
56124;1;4;3;3;2
56125;2;2;3;1;1
56126;1;4;3;3;1
56127;1;2;4;1;4
56128;1;2;4;1;4
56129;1;2;3;1;3
56130;1;4;2;2;2
56131;1;4;4;1;4
56132;1;2;3;3;2
56133;1;2;4;1;1
56134;1;2;4;1;4
56135;1;2;4;1;4
56136;1;4;4;1;1
56137;1;4;2;3;3
56138;2;2;4;1;3
56139;2;2;4;3;3
56140;2;2;3;2;1
56141;1;4;3;1;3
56142;2;2;4;4;1
56143;1;2;2;3;1
56144;2;2;3;1;1
56145;1;2;3;1;4
56146;2;3;2;3;1
56147;1;2;4;2;2
56148;1;2;3;1;2
56149;2;2;4;3;1
56150;1;2;3;3;3
56151;1;2;2;2;4
56152;1;2;2;1;2
56153;1;2;4;1;2
56154;1;2;3;1;1
56155;1;2;3;1;1
56156;1;2;3;3;1
56157;1;2;3;1;4
56158;2;2;2;1;1
56159;1;3;2;1;4
56160;1;4;4;3;2
56161;1;3;3;3;1
56162;2;2;4;3;4
56163;1;2;4;1;2
56164;1;2;2;2;1
56165;1;2;3;1;3
56166;1;2;3;2;1
56167;2;2;3;1;4
56168;1;4;2;1;1
56169;1;2;4;1;4
56170;1;4;3;1;1
56171;1;2;3;3;1
56172;1;2;4;3;2
56173;1;2;4;3;2
56174;1;2;4;3;4
56175;0;2;4;1;4
56176;2;2;3;1;1
56177;1;2;3;2;4
56178;1;2;4;3;4
56179;1;2;4;1;4
56180;1;2;3;2;3
56181;1;2;3;1;2
56182;1;2;4;1;3
56183;1;4;2;2;3
56184;1;4;3;3;1
56185;1;2;2;3;2
56186;1;2;3;1;1
56187;1;2;3;3;2
56188;1;4;3;1;1
56189;1;2;4;3;4
56190;1;2;4;1;4
56191;1;2;3;1;1
56192;1;2;2;1;1
56193;1;4;4;3;1
56194;1;3;4;3;4
56195;1;4;4;1;4
56196;1;4;3;1;1
56197;2;2;4;1;4
56198;1;2;2;1;1
56199;1;2;2;2;2
56200;1;2;3;3;2
56201;2;2;4;2;4
56202;1;2;2;2;4
56203;1;2;3;4;3
56204;1;2;4;1;4
56205;1;4;4;3;2
56206;1;2;4;1;4
56207;1;2;4;3;2
56208;1;4;4;1;2
56209;1;4;4;1;2
56210;2;2;3;1;2
56211;1;2;2;1;2
56212;1;2;3;3;1
56213;1;4;4;3;2
56214;2;2;3;3;2
56215;2;2;4;1;1
56216;1;2;4;1;4
56217;1;3;2;4;4
56218;1;4;3;1;1
56219;1;2;3;1;3
56220;1;2;4;3;3
56221;1;2;3;1;4
56222;1;2;4;1;2
56223;1;3;4;3;4
56224;2;2;3;2;1
56225;2;4;4;1;1
56226;1;2;2;1;2
56227;2;4;4;3;1
56228;1;2;4;1;1
56229;1;2;2;3;1
56230;1;2;4;2;2
56231;2;3;3;3;2
56232;1;2;3;3;1
56233;2;4;2;1;1
56234;1;2;2;3;4
56235;1;2;4;1;2
56236;1;2;3;3;2
56237;2;2;4;1;4
56238;1;4;4;3;2
56239;1;2;3;1;3
56240;2;3;3;3;1
56241;2;2;2;1;4
56242;1;2;4;1;1
56243;2;2;4;1;1
56244;1;2;4;3;4
56245;1;4;3;3;2
56246;1;2;3;1;1
56247;1;2;4;3;1
56248;1;4;2;3;3
56249;1;2;4;1;3
56250;1;2;2;1;2
56251;1;4;4;2;1
56252;1;3;3;2;1
56253;1;2;3;1;1
56254;1;2;3;3;1
56255;2;2;3;3;1
56256;1;2;4;1;2
56257;2;2;2;2;3
56258;1;2;4;1;2
56259;1;2;4;1;2
56260;0;4;4;1;1
56261;2;2;4;1;4
56262;1;3;4;1;2
56263;0;2;3;1;3
56264;1;2;3;1;2
56265;2;3;4;2;4
56266;2;2;3;1;1
56267;1;2;4;3;2
56268;1;3;3;3;4
56269;2;3;3;1;3
56270;1;2;3;4;3
56271;1;2;2;3;2
56272;2;2;4;3;1
56273;1;2;4;1;4
56274;1;4;4;1;3
56275;1;2;4;2;3
56276;0;2;2;3;1
56277;1;2;3;1;2
56278;1;4;3;1;3
56279;1;2;3;3;3
56280;1;2;3;2;1
56281;1;2;4;1;2
56282;1;3;3;3;4
56283;1;2;4;1;1
56284;1;2;4;3;4
56285;1;2;4;1;4
56286;1;2;2;1;1
56287;1;2;4;3;4
56288;0;2;4;1;4
56289;1;2;3;2;1
56290;1;2;2;3;1
56291;1;3;4;3;2
56292;1;2;3;3;2
56293;1;2;4;1;3
56294;1;2;4;1;2
56295;1;4;2;1;4
56296;1;2;3;1;2
56297;1;2;3;3;1
56298;1;2;3;4;1
56299;1;0;0;0;0
56300;1;2;3;2;2
56301;1;3;2;2;3
56302;2;2;4;1;2
56303;1;0;0;0;0
56304;2;2;3;2;1
56305;1;2;4;1;2
56306;1;2;3;3;1
56307;1;4;2;1;1
56308;1;4;4;1;2
56309;1;2;4;3;1
56310;1;4;4;1;4
56311;0;2;2;3;2
56312;2;4;3;1;2
56313;2;2;2;1;2
56314;1;2;3;3;1
56315;1;3;2;3;4
56316;1;2;3;3;1
56317;2;2;2;2;1
56318;2;2;4;1;2
56319;2;2;3;1;1
56320;1;2;3;3;1
56321;2;4;4;1;4
56322;1;2;4;1;2
56323;1;2;3;1;1
56324;2;2;4;1;2
56325;2;4;3;1;1
56326;1;2;4;1;4
56327;2;2;3;1;3
56328;1;2;2;1;3
56329;1;2;3;1;1
56330;1;2;4;1;1
56331;2;4;2;2;1
56332;1;2;4;1;2
56333;2;2;3;1;2
56334;2;3;4;2;2
56335;1;2;3;1;2
56336;1;4;4;1;2
56337;1;2;4;3;4
56338;1;2;2;2;2
56339;2;2;2;2;3
56340;1;2;4;1;3
56341;2;2;2;3;3
56342;1;2;4;3;1
56343;1;2;4;3;4
56344;1;2;4;1;2
56345;0;2;3;3;1
56346;1;2;4;3;2
56347;1;2;3;1;2
56348;1;2;4;1;2
56349;1;2;4;1;2
56350;1;2;4;1;4
56351;1;2;4;1;1
56352;1;2;4;3;4
56353;2;2;3;2;3
56354;1;2;4;3;4
56355;1;2;3;3;2
56356;1;3;3;3;3
56357;2;4;3;3;3
56358;1;2;3;3;4
56359;1;2;4;3;4
56360;1;2;2;1;1
56361;1;2;3;1;1
56362;1;2;2;3;1
56363;1;3;4;3;2
56364;1;4;3;3;3
56365;2;3;4;3;2
56366;1;2;4;3;2
56367;0;3;3;4;4
56368;1;2;3;1;2
56369;2;2;2;1;1
56370;1;3;3;1;2
56371;1;2;4;3;3
56372;1;2;3;1;2
56373;1;2;4;4;2
56374;1;2;3;1;4
56375;1;2;4;1;2
56376;1;2;4;3;2
56377;2;2;4;3;4
56378;1;2;3;3;2
56379;1;4;4;3;1
56380;1;2;4;2;1
56381;1;2;4;1;1
56382;2;2;4;3;2
56383;1;2;4;1;2
56384;1;2;3;3;4
56385;1;3;3;3;1
56386;1;2;4;3;2
56387;1;4;3;2;3
56388;1;2;4;3;1
56389;2;2;3;1;1
56390;1;2;3;1;3
56391;1;2;3;3;2
56392;1;2;3;1;2
56393;1;3;4;1;4
56394;1;2;4;3;2
56395;1;3;4;3;2
56396;1;2;4;1;2
56397;2;2;4;1;3
56398;2;3;3;2;2
56399;1;2;4;1;4
56400;1;2;4;3;2
56401;1;2;2;3;1
56402;2;2;3;3;4
56403;1;3;4;3;1
56404;2;2;4;3;1
56405;1;4;4;5;2
56406;2;2;3;1;1
56407;1;4;2;1;2
56408;2;4;3;1;1
56409;1;3;4;3;3
56410;1;3;3;1;1
56411;1;4;2;1;4
56412;1;2;2;1;1
56413;1;4;2;1;2
56414;2;2;4;3;1
56415;1;2;4;1;2
56416;1;2;2;1;1
56417;2;3;4;3;1
56418;1;2;4;1;4
56419;1;4;4;3;2
56420;2;2;3;3;1
56421;1;4;4;1;1
56422;1;2;3;3;1
56423;1;2;2;1;4
56424;1;2;3;1;3
56425;1;4;2;3;2
56426;1;2;4;1;1
56427;1;2;3;1;3
56428;1;2;3;1;1
56429;1;2;3;3;4
56430;1;2;2;1;4
56431;1;4;3;1;1
56432;2;2;4;1;1
56433;1;2;3;1;1
56434;1;2;3;3;3
56435;1;2;2;3;1
56436;1;2;3;2;4
56437;1;4;4;3;4
56438;1;2;3;1;4
56439;1;4;3;1;1
56440;2;4;4;3;2
56441;1;2;3;3;2
56442;1;2;4;3;2
56443;2;2;4;1;1
56444;1;2;3;1;4
56445;1;4;4;1;4
56446;2;2;4;3;2
56447;2;2;4;3;4
56448;1;2;4;3;3
56449;1;2;3;3;2
56450;1;2;4;3;1
56451;1;2;3;1;4
56452;1;4;4;3;2
56453;1;2;3;2;2
56454;1;4;2;2;3
56455;2;2;3;3;2
56456;1;4;4;1;2
56457;1;2;2;1;4
56458;1;3;4;1;2
56459;1;2;4;3;1
56460;2;4;2;1;1
56461;2;4;3;1;2
56462;2;2;3;3;2
56463;2;2;3;4;4
56464;1;3;4;3;3
56465;1;2;4;3;4
56466;1;2;4;1;2
56467;1;4;4;3;1
56468;2;3;4;3;2
56469;1;4;4;3;2
56470;2;2;3;2;1
56471;1;2;2;4;2
56472;1;2;4;1;3
56473;1;4;4;3;2
56474;1;2;3;3;4
56475;1;2;2;1;3
56476;0;0;0;0;0
56477;1;2;3;1;2
56478;2;2;2;3;2
56479;1;4;2;3;4
56480;2;2;3;1;1
56481;2;2;4;1;2
56482;2;4;3;1;3
56483;1;2;4;1;4
56484;1;4;3;1;4
56485;2;2;4;3;3
56486;1;2;4;3;1
56487;1;2;2;3;1
56488;1;4;3;1;4
56489;2;2;2;1;1
56490;2;2;4;1;4
56491;2;2;3;3;2
56492;1;2;2;2;2
56493;2;2;4;3;3
56494;1;2;3;1;2
56495;1;4;3;1;3
56496;1;2;2;3;1
56497;1;4;4;1;4
56498;1;4;3;1;1
56499;1;4;4;3;4
56500;1;2;2;1;4
56501;1;2;3;3;1
56502;1;2;4;3;2
56503;1;2;3;3;4
56504;1;4;4;1;4
56505;2;2;3;3;1
56506;1;2;3;2;2
56507;2;3;3;3;2
56508;1;2;4;3;4
56509;1;4;2;3;2
56510;1;2;3;3;1
56511;1;2;3;3;3
56512;1;2;3;2;2
56513;1;4;4;1;4
56514;1;2;3;2;2
56515;1;2;3;2;2
56516;2;2;3;1;2
56517;1;2;2;1;1
56518;1;3;4;3;3
56519;1;2;2;1;1
56520;1;2;3;1;2
56521;1;2;2;4;2
56522;1;3;2;4;1
56523;1;2;2;3;1
56524;1;2;3;3;3
56525;1;2;4;1;4
56526;1;2;4;3;3
56527;1;2;4;1;3
56528;1;2;4;3;1
56529;1;4;3;3;4
56530;2;2;2;2;1
56531;1;4;3;3;2
56532;1;2;4;1;2
56533;1;3;4;3;2
56534;1;2;2;3;2
56535;1;4;2;1;3
56536;1;2;4;1;1
56537;1;2;3;3;1
56538;1;2;3;1;2
56539;2;4;3;4;1
56540;1;2;3;1;4
56541;1;2;2;1;2
56542;1;2;4;3;2
56543;1;2;3;1;1
56544;1;2;4;3;2
56545;1;2;3;1;2
56546;1;3;3;1;2
56547;1;2;3;1;1
56548;1;2;2;2;1
56549;1;2;3;3;1
56550;1;3;4;3;2
56551;1;2;3;3;4
56552;2;2;4;1;2
56553;1;2;4;3;1
56554;1;3;2;3;2
56555;2;2;3;1;1
56556;2;2;2;2;3
56557;1;2;3;1;3
56558;2;3;4;3;1
56559;1;4;3;3;2
56560;1;2;3;1;1
56561;1;3;2;3;2
56562;1;4;4;1;3
56563;1;2;4;1;1
56564;2;2;3;1;1
56565;2;2;3;3;1
56566;1;3;3;3;3
56567;1;3;4;1;4
56568;1;2;3;1;3
56569;1;3;2;3;1
56570;1;2;4;3;1
56571;1;2;2;1;1
56572;1;2;4;1;2
56573;1;2;4;1;2
56574;1;3;4;3;2
56575;1;2;3;1;4
56576;1;2;2;2;4
56577;1;2;3;3;1
56578;1;2;4;1;4
56579;1;2;3;3;1
56580;1;2;3;1;4
56581;2;2;3;3;1
56582;1;3;3;1;2
56583;1;2;4;3;4
56584;1;2;2;1;1
56585;1;2;3;2;4
56586;2;3;4;3;2
56587;1;3;3;3;1
56588;1;2;3;1;1
56589;1;3;3;4;1
56590;1;2;2;3;2
56591;1;4;4;1;4
56592;1;3;3;3;2
56593;1;2;3;1;4
56594;1;2;4;1;3
56595;1;4;3;1;2
56596;2;2;3;3;2
56597;2;4;3;3;1
56598;1;2;3;3;1
56599;1;2;3;1;4
56600;1;2;4;3;2
56601;1;3;3;1;2
56602;1;2;4;1;4
56603;1;4;3;2;1
56604;1;2;3;3;4
56605;1;2;3;1;4
56606;1;2;4;1;4
56607;1;3;4;3;4
56608;2;2;4;1;2
56609;2;2;4;3;1
56610;1;2;4;3;2
56611;2;2;3;1;1
56612;1;2;4;1;2
56613;1;2;3;1;4
56614;2;4;2;3;4
56615;1;2;3;1;4
56616;1;4;4;3;2
56617;1;4;4;1;2
56618;1;3;3;2;3
56619;1;4;4;3;4
56620;1;2;3;1;4
56621;1;2;3;1;1
56622;0;2;3;2;1
56623;1;2;4;3;4
56624;1;2;4;1;3
56625;2;2;4;1;2
56626;1;3;3;3;2
56627;1;2;2;1;1
56628;1;4;3;1;4
56629;1;2;2;3;1
56630;1;2;3;4;3
56631;1;2;3;1;2
56632;1;2;2;1;1
56633;2;2;4;3;2
56634;1;2;4;3;2
56635;1;4;2;1;3
56636;1;2;2;3;1
56637;1;2;4;2;2
56638;1;2;2;1;4
56639;1;2;4;3;2
56640;1;2;4;1;3
56641;1;2;4;1;2
56642;1;2;2;1;3
56643;1;2;3;3;2
56644;1;2;4;1;1
56645;1;3;4;2;2
56646;1;2;3;1;2
56647;1;2;3;3;4
56648;2;2;4;1;2
56649;2;2;4;1;1
56650;1;2;4;1;4
56651;1;2;4;3;1
56652;2;2;3;1;3
56653;0;4;2;3;2
56654;1;2;3;1;4
56655;1;2;2;2;1
56656;2;2;2;1;2
56657;1;2;4;3;2
56658;2;2;2;3;1
56659;1;2;3;1;2
56660;0;3;4;3;2
56661;1;3;3;1;1
56662;1;2;4;1;4
56663;1;2;4;1;2
56664;1;2;3;1;2
56665;1;2;3;3;4
56666;1;2;2;2;2
56667;1;2;2;1;4
56668;1;3;4;4;3
