"user_id";"sex_type";"occupation";"education";"marriage";"person_typpe";"sex_occupation";"sex_education";"sex_marriage";"sex_persontype";"occupation_education";"occupation_marriage";"occupation_persontype";"education_marriage";"education_persontype";"marriage_persontype";"credit_card_numbers";"mean_credit_limit";"max_credit_limit";"min_credit_limit";"s_1_times";"s_1_times_prob";"s_0_times";"s_0_times_prob";"mean_cycle_interest";"max_cycle_interest";"min_cycle_interest";"mean_zuidihuankuan";"min_zuidihuankuan";"max_zuidihuankuan";"mean_moneyreturn_rate";"mean_lastmoneyreturn";"min_lastmoneyreturn";"max_lastmoneyreturn";"mean_lastmoneyuse";"min_lastmoneyuse";"max_lastmoneyuse";"mean_consume_numbers";"max_consume_numbers";"min_consume_numbers";"mean_yue";"max_yue";"min_yue";"mean_jine";"max_jine";"min_jine";"bias_jine_yue";"mean_available";"max_available";"min_available";"mean_adjust";"max_adjust";"min_adjust";"consumed_money";"consumed_rate";"lable"
112;1;2;3;1;2;2.1;3.1;1.1;2.1;6.1;2.1;4.1;3.1;6.1;2.1;4;20.1785;21.2522;0.0;0;0.0;22;1.0;6.22975;17.2321;0.0;18.7323;16.424;19.496;0.800032;8.33445;0.0;18.6242;10.4177;0.0;21.3105;4;7;2;20.4735;21.3544;19.0139;9.14791;20.3221;0.0;249.163;1.91465;21.0693;0.0;0.0;0.0;0.0;201.254;0.446817;1
133;2;2;4;1;1;4.1;8.1;2.1;2.1;8.1;2.1;2.1;4.1;4.1;1.1;1;20.1099;20.6644;19.9713;0;0.0;5;1.0;0.0;0.0;0.0;17.6419;17.4875;17.6885;1.15719;18.5042;17.7079;19.4331;15.9906;0.0;20.0053;1;2;0;19.9445;19.991;19.7901;18.8007;20.1548;17.805;5.71896;0.0;0.0;0.0;0.0;0.0;0.0;94.0035;0.942651;1
136;2;2;2;1;3;4.1;4.1;2.1;6.1;4.1;2.1;6.1;2.1;6.1;3.1;1;19.9713;19.9713;19.9713;0;0.0;4;1.0;0.0;0.0;0.0;16.6088;16.5539;16.6636;1.85772;17.5112;16.0542;18.9682;9.42621;0.0;18.8524;4;10;0;18.9089;18.9655;18.8524;18.9905;19.0695;18.9116;-0.326309;0.0;0.0;0.0;0.0;0.0;0.0;75.9621;1.00431;1
151;2;2;3;3;1;4.1;6.1;6.1;2.1;6.1;6.1;2.1;9.1;3.1;3.1;4;17.7993;21.0699;0.0;0;0.0;27;1.0;0.407697;11.0078;0.0;17.8126;16.6478;19.1151;1.01253;7.86048;0.0;19.0782;7.76317;0.0;19.0774;1;4;0;19.8439;21.0983;18.9474;8.78798;20.1717;0.0;298.511;9.39896;21.078;0.0;0.0;0.0;0.0;237.275;0.442854;1
168;1;2;3;3;2;2.1;3.1;3.1;2.1;6.1;6.1;4.1;9.1;6.1;6.1;1;0.0;0.0;0.0;0;0.0;4;1.0;0.0;0.0;0.0;8.60298;0.0;17.3644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;7.06609;19.4681;-10.4043;0.0;0.0;0.0;28.2643;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
183;2;4;4;1;2;8.1;8.1;2.1;4.1;16.1;4.1;8.1;4.1;8.1;2.1;1;0.0;0.0;0.0;0;0.0;2;1.0;0.0;0.0;0.0;9.03463;0.0;18.0693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;5.06085;20.3718;-10.2501;0.0;0.0;0.0;10.1217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
206;1;2;2;2;1;2.1;2.1;2.1;1.1;4.1;4.1;2.1;4.1;2.1;2.1;1;19.4604;19.4604;19.4604;0;0.0;3;1.0;0.0;0.0;0.0;16.8511;16.2374;17.1598;1.36447;17.2828;13.0853;19.9306;12.6663;0.0;19.4588;2;4;0;19.1537;19.4623;18.5399;19.5034;19.5891;19.4605;-1.04911;0.0;0.0;0.0;0.0;0.0;0.0;58.5102;1.01826;1
218;2;2;4;1;4;4.1;8.1;2.1;8.1;8.1;2.1;8.1;4.1;16.1;4.1;3;19.8495;20.4413;19.055;0;0.0;4;1.0;0.0;0.0;0.0;17.597;16.9463;18.1387;0.922289;13.4393;0.0;20.4415;14.5717;0.0;20.4413;0;1;0;19.856;20.4413;19.0757;19.1725;20.4413;16.9468;2.73431;3.03681;12.1472;0.0;0.0;0.0;0.0;76.6898;0.965573;1
226;0;4;3;1;4;0.1;0.1;0.1;0.1;12.1;4.1;16.1;3.1;12.1;4.1;3;11.6162;19.9713;0.0;0;0.0;5;1.0;2.19521;10.9761;0.0;17.9373;16.6852;19.0306;2.27965;17.7664;16.0592;18.9883;7.79349;0.0;19.9796;1;2;0;19.7227;20.7553;18.9878;19.7756;20.7941;19.0399;-0.264626;0.0;0.0;0.0;3.94343;19.7172;0.0;79.1609;0.802739;1
232;1;3;2;3;1;3.1;2.1;3.1;1.1;6.1;9.1;3.1;6.1;2.1;3.1;1;20.1536;20.1536;20.1536;0;0.0;3;1.0;0.0;0.0;0.0;18.6428;18.3854;19.1149;0.859973;17.2534;11.4541;20.1864;20.0627;19.9827;20.1458;3;5;2;19.853;20.0596;19.5166;0.0;0.0;0.0;59.5589;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
233;1;2;4;1;1;2.1;4.1;1.1;1.1;8.1;2.1;2.1;4.1;4.1;1.1;1;21.3576;21.3576;21.3576;0;0.0;1;1.0;0.0;0.0;0.0;20.261;20.261;20.261;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;20.3444;20.3444;20.3444;0.0;0.0;0.0;20.3444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
275;1;2;3;1;3;2.1;3.1;1.1;3.1;6.1;2.1;6.1;3.1;9.1;3.1;2;20.307;20.4413;19.9713;0;0.0;7;1.0;0.0;0.0;0.0;17.7537;16.3656;18.4238;1.24283;17.7394;11.1394;20.4449;14.2735;0.0;20.364;1;6;0;19.9202;20.364;18.6681;20.0457;20.4914;18.6689;-0.87826;0.0;0.0;0.0;0.0;0.0;0.0;140.32;1.0063;1
286;1;2;3;1;2;2.1;3.1;1.1;2.1;6.1;2.1;4.1;3.1;6.1;2.1;2;14.5246;19.9713;0.0;0;0.0;11;1.0;1.41553;15.5708;0.0;15.1434;0.0;17.7378;1.03562;14.7815;0.0;21.1129;14.2731;0.0;20.0132;1;2;0;15.7061;20.0132;-19.5168;14.7776;21.0235;0.0;10.2139;0.0;0.0;0.0;0.0;0.0;0.0;162.553;0.94088;1
291;1;3;3;3;1;3.1;3.1;3.1;1.1;9.1;9.1;3.1;9.1;3.1;3.1;2;18.5413;20.1536;0.0;0;0.0;25;1.0;0.0;0.0;0.0;14.4589;0.0;18.7096;0.899584;16.1634;0.0;20.854;17.9676;-12.2956;20.1889;0;0;0;13.946;20.1889;-14.0198;16.1957;20.3206;0.0;-56.243;3.95964;20.1889;0.0;0.0;0.0;0.0;404.892;1.16132;1
295;1;2;3;1;1;2.1;3.1;1.1;1.1;6.1;2.1;2.1;3.1;3.1;1.1;1;19.055;19.055;19.055;0;0.0;14;1.0;0.0;0.0;0.0;16.9474;16.8732;17.0788;0.899342;17.1474;16.8012;17.3457;19.0666;19.0588;19.0789;0;0;0;19.0678;19.0789;19.0588;17.1618;17.3361;16.9786;26.6836;2.72487;19.0789;0.0;0.0;0.0;0.0;240.265;0.900042;1
296;1;2;3;3;1;2.1;3.1;3.1;1.1;6.1;6.1;2.1;9.1;3.1;3.1;8;21.3315;22.9468;19.9713;0;0.0;290;1.0;6.24407;18.4798;0.0;18.714;0.0;21.2607;0.896341;15.6482;0.0;22.5128;17.4578;-18.0761;22.6661;3;12;0;20.4623;22.6661;-18.0761;16.7331;21.9062;0.0;1081.48;0.81588;20.3585;0.0;0.334405;21.6667;-20.5286;4755.62;0.801409;1
297;2;2;3;3;1;4.1;6.1;6.1;2.1;6.1;6.1;2.1;9.1;3.1;3.1;1;0.0;0.0;0.0;0;0.0;6;1.0;0.0;0.0;0.0;18.7469;18.637;18.9684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;19.8152;20.2098;18.9259;0.0;0.0;0.0;118.891;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
328;0;2;2;3;1;0.1;0.1;0.1;0.1;4.1;6.1;2.1;6.1;2.1;3.1;1;20.6644;20.6644;20.6644;0;0.0;2;1.0;0.0;0.0;0.0;18.0254;17.6856;18.3653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;5;3;20.6746;20.6813;20.6679;0.0;0.0;0.0;41.3492;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
361;1;3;4;1;1;3.1;4.1;1.1;1.1;12.1;3.1;3.1;4.1;4.1;1.1;1;0.0;0.0;0.0;0;0.0;8;1.0;0.0;0.0;0.0;16.4662;0.0;18.8185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;16.4662;18.8185;0.0;0.0;0.0;0.0;131.73;16.4662;18.8185;0.0;0.0;0.0;0.0;0.0;0.0;1
373;1;2;2;1;3;2.1;2.1;1.1;3.1;4.1;2.1;6.1;2.1;6.1;3.1;5;17.7016;21.2067;0.0;0;0.0;144;1.0;0.221559;15.9522;0.0;18.0838;15.1706;19.6158;0.888877;9.18082;0.0;20.6643;10.3286;0.0;20.6643;0;3;0;20.2045;21.3414;17.4732;10.3806;20.6647;0.0;1414.65;0.428676;20.6559;0.0;0.0;0.0;0.0;1494.81;0.513776;1
375;1;2;4;1;4;2.1;4.1;1.1;4.1;8.1;2.1;8.1;4.1;16.1;4.1;2;19.1361;19.4604;19.055;0;0.0;10;1.0;0.0;0.0;0.0;13.7803;0.0;17.6011;1.32437;14.3464;0.0;18.3042;10.8327;0.0;18.5867;0;2;0;14.8794;19.2789;0.0;14.6826;19.2789;0.0;1.96784;1.02501;10.2501;0.0;0.0;0.0;0.0;146.826;0.986775;1
379;1;2;3;3;1;2.1;3.1;3.1;1.1;6.1;6.1;2.1;9.1;3.1;3.1;1;19.8535;20.4413;19.6428;0;0.0;10;1.0;0.0;0.0;0.0;17.3532;13.7567;19.6279;0.895007;17.0885;0.0;20.1741;19.0931;14.8929;20.1553;2;3;0;18.8686;20.1737;14.8929;18.1669;19.9085;14.9142;7.01704;9.14595;19.6341;0.0;0.0;0.0;0.0;181.669;0.962811;1
383;1;3;3;3;1;3.1;3.1;3.1;1.1;9.1;9.1;3.1;9.1;3.1;3.1;1;20.8467;20.8467;20.8467;0;0.0;21;1.0;0.0;0.0;0.0;17.5927;16.258;18.4733;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;10;0;20.4161;20.8636;19.0624;0.0;0.0;0.0;428.739;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
388;1;2;3;1;4;2.1;3.1;1.1;4.1;6.1;2.1;8.1;3.1;12.1;4.1;2;19.9075;19.9713;19.7481;0;0.0;7;1.0;10.1421;15.5836;0.0;17.5227;16.6395;18.3216;0.456443;5.13362;0.0;20.0039;11.247;0.0;19.9644;1;2;0;19.7016;19.9644;19.438;18.9094;19.7725;16.2327;5.54559;0.0;0.0;0.0;0.0;0.0;0.0;132.366;0.959789;1
389;2;2;3;1;2;4.1;6.1;2.1;4.1;6.1;2.1;4.1;3.1;6.1;2.1;1;19.5856;19.5856;19.5856;0;0.0;1;0.0;0.0;0.0;0.0;17.283;17.283;17.283;0.0;19.1416;19.1416;19.1416;0.0;0.0;0.0;0;0;0;19.5856;19.5856;19.5856;20.0812;20.0812;20.0812;-0.495594;0.0;0.0;0.0;0.0;0.0;0.0;20.0812;1.0253;1
407;0;2;3;1;1;0.1;0.1;0.1;0.1;6.1;2.1;2.1;3.1;3.1;1.1;2;20.1178;21.0699;19.9713;0;0.0;15;1.0;13.6072;16.0593;0.0;18.666;17.7518;19.3405;0.358233;6.23226;-19.7515;19.7515;17.3972;0.0;21.087;2;4;0;20.138;21.0854;19.8925;17.456;21.5362;14.7562;40.2304;0.0;0.0;0.0;0.0;0.0;0.0;261.84;0.866818;1
417;2;2;4;1;3;4.1;8.1;2.1;6.1;8.1;2.1;6.1;4.1;12.1;3.1;1;19.9713;19.9713;19.9713;0;0.0;1;0.0;11.464;11.464;11.464;16.4507;16.4507;16.4507;0.0;18.3618;18.3618;18.3618;0.0;0.0;0.0;2;2;2;18.7471;18.7471;18.7471;19.2656;19.2656;19.2656;-0.518543;0.0;0.0;0.0;0.0;0.0;0.0;19.2656;1.02766;1
428;1;2;3;1;4;2.1;3.1;1.1;4.1;6.1;2.1;8.1;3.1;12.1;4.1;2;19.0771;21.0699;0.0;0;0.0;16;1.0;6.12897;15.1189;0.0;16.8919;0.0;18.8232;1.36623;8.40723;0.0;20.1537;6.15362;-17.6387;19.849;5;11;0;17.0514;20.6662;-17.6387;9.76216;20.5369;0.0;116.628;0.0;0.0;0.0;5.83758;20.0762;0.0;62.7933;0.230161;1
445;1;2;4;1;2;2.1;4.1;1.1;2.1;8.1;2.1;4.1;4.1;8.1;2.1;2;19.3429;19.7481;19.055;0;0.0;19;1.0;0.0;0.0;0.0;16.8936;0.0;18.9502;0.950189;15.3765;0.0;19.7481;16.1825;0.0;19.754;1;4;0;18.1991;19.754;0.0;17.0379;19.7217;0.0;22.0624;9.11944;19.6129;0.0;0.0;0.0;0.0;323.721;0.936196;1
454;1;2;4;3;3;2.1;4.1;3.1;3.1;8.1;6.1;6.1;12.1;12.1;9.1;4;13.4713;20.9268;0.0;0;0.0;36;1.0;1.00499;12.721;0.0;17.2458;0.0;18.8379;1.05078;12.2333;0.0;20.9268;11.6421;0.0;20.8229;1;5;0;18.873;20.8229;-14.3985;10.5376;20.8889;0.0;300.076;0.0;0.0;0.0;0.0;0.0;0.0;379.353;0.558341;1
456;1;2;4;2;1;2.1;4.1;2.1;1.1;8.1;4.1;2.1;8.1;4.1;2.1;1;19.4604;19.4604;19.4604;0;0.0;2;1.0;0.0;0.0;0.0;16.8192;16.4687;17.1697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;2;1;19.4684;19.4723;19.4644;0.0;0.0;0.0;38.9367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
459;1;2;4;1;2;2.1;4.1;1.1;2.1;8.1;2.1;4.1;4.1;8.1;2.1;1;19.9803;20.1536;19.4604;0;0.0;4;1.0;0.0;0.0;0.0;17.7929;17.3016;18.0747;1.01533;19.9329;19.6318;20.6021;19.632;19.5118;19.7458;4;7;2;19.6263;19.7458;19.489;0.0;0.0;0.0;78.5052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
489;0;2;4;1;2;0.1;0.1;0.1;0.1;8.1;2.1;4.1;4.1;8.1;2.1;6;19.3287;21.0699;0.0;0;0.0;185;1.0;0.45488;12.8303;0.0;16.3383;-17.9846;19.8049;0.970222;14.3885;0.0;20.3771;14.8301;-19.055;20.6809;2;17;0;18.198;21.0315;-17.0575;7.44533;20.3771;-19.8729;1989.25;0.341487;21.0756;0.0;0.0;0.0;0.0;1377.39;0.409129;1
505;1;3;4;1;1;3.1;4.1;1.1;1.1;12.1;3.1;3.1;4.1;4.1;1.1;2;10.3322;20.6644;0.0;0;0.0;2;0.0;5.71694;11.4339;0.0;18.7214;18.1428;19.2999;0.0;18.1468;17.6695;18.6242;0.0;0.0;0.0;2;4;0;20.6962;20.947;20.4454;20.7731;21.0404;20.5058;-0.153854;0.0;0.0;0.0;0.0;0.0;0.0;41.5462;1.00372;1
509;1;2;3;1;1;2.1;3.1;1.1;1.1;6.1;2.1;2.1;3.1;3.1;1.1;5;15.8685;20.7597;0.0;0;0.0;9;1.0;3.74537;16.8542;0.0;15.8049;0.0;18.5671;1.20736;13.1362;-18.4084;20.5602;10.8802;-20.5596;20.7535;2;4;0;17.5669;20.67;0.0;15.1314;20.66;0.0;21.9192;0.0;0.0;0.0;0.0;0.0;0.0;136.182;0.86136;1
514;1;3;4;3;1;3.1;4.1;3.1;1.1;12.1;9.1;3.1;12.1;4.1;3.1;2;19.1208;22.967;0.0;0;0.0;32;1.0;0.0;0.0;0.0;17.5518;16.4521;20.6522;1.00077;19.7325;0.0;22.975;19.7174;0.0;22.9548;0;2;0;20.3298;22.9548;19.4478;19.7375;23.008;0.0;18.9536;0.0;0.0;0.0;0.0;0.0;0.0;631.6;0.970865;1
516;1;4;3;1;1;4.1;3.1;1.1;1.1;12.1;4.1;4.1;3.1;3.1;1.1;2;12.7876;21.0699;0.0;0;0.0;16;1.0;0.0;0.0;0.0;9.32775;0.0;19.5406;3.87367;9.6981;0.0;20.5422;2.50359;-13.6568;20.5346;2;7;0;3.32481;20.6029;-13.6579;9.05163;19.9446;0.0;-91.629;-0.845296;0.0;-13.5247;0.0;0.0;0.0;144.826;2.72245;1
518;1;2;3;3;1;2.1;3.1;3.1;1.1;6.1;6.1;2.1;9.1;3.1;3.1;4;20.0456;20.6644;19.055;0;0.0;28;1.0;0.0;0.0;0.0;17.9359;16.058;18.8755;0.988587;13.4735;0.0;20.5864;13.629;0.0;20.2294;3;13;0;18.8193;20.1878;17.8964;13.2341;20.1283;0.0;156.387;0.0;0.0;0.0;0.0;0.0;0.0;370.554;0.703217;1
532;1;4;4;3;2;4.1;4.1;3.1;2.1;16.1;12.1;8.1;12.1;8.1;6.1;2;18.9019;20.3077;0.0;0;0.0;20;1.0;0.0;0.0;0.0;15.829;0.0;19.2895;0.586129;11.5859;0.0;20.3623;19.7668;18.6983;20.3623;1;4;0;16.3696;20.3623;-13.0754;16.877;20.1701;13.6435;-10.1485;7.33169;19.8333;-10.8379;0.0;0.0;0.0;337.54;1.031;1
543;2;4;3;1;1;8.1;6.1;2.1;2.1;12.1;4.1;4.1;3.1;3.1;1.1;2;19.9446;20.3077;19.4604;0;0.0;21;1.0;0.0;0.0;0.0;16.8203;15.3949;18.0184;0.97417;16.8685;0.0;20.3219;17.3158;0.0;20.3059;1;5;0;19.0796;20.3059;17.5597;17.405;20.3216;13.4501;35.1669;3.86711;20.3059;0.0;0.0;0.0;0.0;365.505;0.91223;1
552;1;4;4;1;2;4.1;4.1;1.1;2.1;16.1;4.1;8.1;4.1;8.1;2.1;1;19.055;19.055;19.055;0;0.0;3;1.0;0.0;0.0;0.0;17.9208;17.4627;18.4195;0.119585;2.28332;0.0;6.84997;19.0937;19.0613;19.1369;2;2;2;19.1204;19.1706;19.0828;15.4678;15.7641;15.2328;10.9577;0.0;0.0;0.0;0.0;0.0;0.0;46.4035;0.80897;1
559;0;2;4;3;1;0.1;0.1;0.1;0.1;8.1;6.1;2.1;12.1;4.1;3.1;1;0.0;0.0;0.0;0;0.0;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;-12.7785;-12.7785;-12.7785;0.0;0.0;0.0;-12.7785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
575;1;4;4;1;4;4.1;4.1;1.1;4.1;16.1;4.1;16.1;4.1;16.1;4.1;1;18.9681;20.1536;0.0;0;0.0;17;1.0;0.0;0.0;0.0;18.1769;17.4572;19.1399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;16;4;19.5908;19.9043;17.6647;0.0;0.0;0.0;333.043;4.74208;20.1683;0.0;0.0;0.0;0.0;0.0;0.0;1
576;1;2;3;1;4;2.1;3.1;1.1;4.1;6.1;2.1;8.1;3.1;12.1;4.1;1;9.18092;18.3618;0.0;0;0.0;2;1.0;0.0;0.0;0.0;7.73793;0.0;15.4759;-2.84002;16.5238;15.5484;17.4992;-5.8182;-11.6364;0.0;0;0;0;8.88922;17.7784;0.0;16.9356;18.3429;15.5282;-16.0927;0.0;0.0;0.0;0.0;0.0;0.0;33.8711;1.90518;1
582;0;2;4;1;1;0.1;0.1;0.1;0.1;8.1;2.1;2.1;4.1;4.1;1.1;1;20.4413;20.4413;20.4413;0;0.0;21;1.0;0.0;0.0;0.0;18.0739;0.0;20.5882;0.470541;9.62568;0.0;20.5918;20.4566;20.179;20.5882;2;4;0;19.4838;20.5882;0.0;0.0;0.0;0.0;409.159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
590;1;2;4;1;1;2.1;4.1;1.1;1.1;8.1;2.1;2.1;4.1;4.1;1.1;1;20.4413;20.4413;20.4413;0;0.0;11;1.0;0.0;0.0;0.0;18.413;18.1395;19.0543;0.819383;16.7475;0.0;20.4988;20.4392;20.4236;20.4608;3;7;1;20.4416;20.466;20.4236;0.0;0.0;0.0;224.858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
592;1;2;3;3;2;2.1;3.1;3.1;2.1;6.1;6.1;4.1;9.1;6.1;6.1;2;16.9231;20.3077;0.0;0;0.0;12;1.0;0.0;0.0;0.0;15.7684;0.0;19.7752;0.832459;13.0812;0.0;20.8709;15.714;-15.1042;20.618;3;6;0;16.7511;20.4401;0.0;17.3137;20.8655;0.0;-6.7509;0.0;0.0;0.0;0.0;0.0;0.0;207.764;1.03358;1
609;1;2;3;3;1;2.1;3.1;3.1;1.1;6.1;6.1;2.1;9.1;3.1;3.1;2;19.9713;19.9713;19.9713;0;0.0;16;1.0;0.0;0.0;0.0;13.5925;0.0;17.8276;0.929332;14.8225;0.0;18.4284;15.9496;0.0;19.9828;1;2;0;16.0929;19.9882;0.0;14.215;19.6007;0.0;30.045;0.0;0.0;0.0;0.0;0.0;0.0;227.441;0.883314;1
612;1;3;3;2;2;3.1;3.1;2.1;2.1;9.1;6.1;6.1;6.1;6.1;4.1;2;20.5221;20.6644;20.3077;0;0.0;27;1.0;0.0;0.0;0.0;18.214;16.9697;18.524;0.293957;3.57365;-18.5442;18.6983;12.157;0.0;20.6791;2;4;0;20.3559;20.6794;19.1411;11.3293;18.5803;0.0;243.718;0.0;0.0;0.0;0.0;0.0;0.0;305.891;0.556561;1
621;1;2;4;2;4;2.1;4.1;2.1;4.1;8.1;4.1;8.1;8.1;16.1;8.1;3;14.1023;21.3576;0.0;0;0.0;19;1.0;12.0669;16.4887;0.0;19.1672;17.6444;20.8152;0.701177;10.2243;0.0;20.3965;14.5817;0.0;20.8152;2;12;0;19.9779;20.8152;18.5201;15.2156;21.2697;0.0;90.4832;0.0;0.0;0.0;3.03996;20.8714;0.0;231.338;0.609457;1
